title,drive_fileId,role,provenance_note
27 р цооног 12ш.docx,1vPXAWelQlX_bfjQp1jOqa8xwVMsp91U6,OVD27 descriptions (12),
28 ба 29 р цооног 9ш.docx,1ZwejH5NIjLSqTYBmuRyl5PoCSmgAdsMR,OVD28+OVD29 descriptions (9),
15ш пет-мин бичиглэл. 09.02.docx,17UhBmihR8HYhLMbUo0qz-myjvxNi7G6y,"2025 descriptions, 15 samples (14 unlocated + 43816=OVD009@126.6)",
5 петрографи баттерей (2).docx,1JSiTRfddzTDCi4VRso_BGmQKA_S6WVB7,"2025 descriptions, 5 samples",
Report_ABM 2025.09.09 final.pdf,1el3ET8WvDjbohD0oJyQJ1CU4Lo7h-0-Z,"MUST (ШУТИС) 2025-09-09 report, 22 samples, SEM-EDX",
BayanSair_Drilling Sample Petrography_12 Sample.docx,1XSM2M96NX3-UdzGe8csb3RF95jqecbOD,2026 BS001 descriptions (12),
MS3_Outcrop Sample_Петрографи-минераграфи 4ш.docx,1pdeSCucBLmStH5nrRrOUaMwXzr_KpQK-,2026 MS3 outcrop descriptions (4),"fileId corrected in v1.1: the build cited 1pdeSCucBLmStN5nrRrOUaMwXzr_KpQK-, which is not an inventory entry; the inventory-canonical copy of this title is 1pdeSCucBLmStH5nrRrOUaMwXzr_KpQK-"
"41ш петрографи, минераграфийн бичиглэл.docx (41 samples MN)",1uDyW5O5Ij4LixvQfTtNdwZAQlAQs2y00,Mongolian twin of the 41-sample 2024 report — source of the Mongolian rock names merged into those 41 English descriptions,
Петрографи минераграфийн бичиглэл. 15 ш. Иннова Минерал.docx,1HOaqAhH-D7Jm6CRRXwDuMw28lm7woGRK,Mongolian twin of the Innova Mineral 15-sample 2024 report — source of the Mongolian rock names merged into those 15 descriptions,
Petrographic descriptions 06.23.pdf,16r0N4TEldedRvrGcPM_hEvIeCsZfMA7v,"Mireslab 2022-06-23 surface petrography, 2 samples (OV202202/OV202203)",
Petrographic descriptions 11.04.pdf,1nIKqxM9CtQt3Hn62D0ExKWKdL-CAaVPq,"Mireslab 2022-11-07 surface petrography, 6 samples (OVF-1/-2, 020, OV-40/-41/-51)",
Report_0715_Ni.pdf,1jIT5VpacpQcvW1KbUty6C1EmT2PPr1Fu,"Mireslab 2022-07-15 first Ni report, 2 unjoinable samples (2111, 2107)",
Report_microscope_20221012.pdf,1sBdqf9GC7ZO_690r9rE2R6QhJe2cq54t,"Mireslab 2022-10-12 surface petrography, 8 samples (YT-/YM- field numbers)",
MINERALOGICAL-DESCRIPTIONS_2023.03.25.pdf,1PqskoIsimAuRzmS2h6uQeKGz1cv2ZHoq,"Mireslab 2023-03 supergene Ni mineralogy, 1 unjoinable sample (2023Nisample)",
Thin and polish-1.docx,1DfMbUNC3_4pIxEMFYjDPUb3TQZ5WHzM2,"MN description sheet, 1 surface sample (SH-14)",
Thin and polish-1sh.docx,1UiyI5UX26_xmf4BTJIIUTL2yWWZ-FGEa,"MN description sheet, 1 surface sample (SH-18)",
Thin and polish-2sh.docx,15hjIW8slda5_7rpK_Hkbvake7Qq7J0pW,"MN description sheet, 2 surface samples (SH-14-1, SH-16)",
Thin and polish-4.docx,1ip2bAQRB303SZq0R5zbY0CBuhQnA02cs,"MN description sheet, 4 surface samples (2107, 2104-1, A, 2102)",
BE-3 samples in English.pdf,1JCorsOW4v8Vepb9HJlzYNDtzabENxU25,NUM (L.Oyunjargal PhD) 2023-06-22 ore petrology of blocks 40763/40900/40913,
Report20231124.docx,106T7bR2o5_Pw1pFPEcfzml6Q9DhdnFUT,"Mireslab report #2303 (Innova Mineral order 008), 2 samples 40763/40913",
Report_20230816_Part1.pdf + Report_20230816_Part2.pdf,1KLR39-VqsFSizHMIQk81Alv-HWZuslik + 1TEpS_kJCBV63jULDdND8Y7DZHfoEGHFH,Mireslab report #2302 — the FULL narrative behind the 23-row MIRESL summary sheet (internal codes OVD001-OVD023),
Petrography_mineragraphy_24 sample.pdf,17L0euxdhc6dl-FDZchKX9xKrgYgvpKS3,"Khanlab О-24 consolidated report — the 12 OVD009 sections (41014-41023, 41033, 41034) missing from Петрограф008.docx",
CORE PHOTO/ARDH-2005-01/4. Thin section photo (18 JPG),folder:1SpY0E3wPZudd9e6KIC5D8SpFgfnRF2tk,"legacy 2005 hole ARDH-2005-01: 17 unique thin-section photographs, no accompanying report — photo_only sample stubs",
